"C_ID"|"C_ID"|"C_ACTUALARRIVAL"|"C_ACTUALDEPARTURE"
"73f316ac79c18950000001288d2bf30d000f"|"73f316ac79c18950000001288d2bf2fe000e"|02.04.10 10:11:27,000000000|02.04.10 09:59:26,000000000
"73f316ac79c18950000001288d2bf31d0010"|"73f316ac79c18950000001288d2bf30d000f"|02.04.10 09:40:30,000000000|02.04.10 09:21:27,000000000
"73f316ac79c18950000001288d2bf33c0011"|"73f316ac79c18950000001288d2bf31d0010"|02.04.10 10:21:13,000000000|02.04.10 10:20:30,000000000
"73f316ac79c18950000001288d2bf34c0012"|"73f316ac79c18950000001288d2bf33c0011"|02.04.10 11:05:52,000000000|02.04.10 10:41:13,000000000
"73f316ac79c18950000001288d2c026f0014"|"73f316ac79c18950000001288d2c025f0013"|02.04.10 06:00:00,000000000|02.04.10 05:24:29,000000000
"73f316ac79c18950000001288d2c027e0015"|"73f316ac79c18950000001288d2c026f0014"|02.04.10 09:47:38,000000000|02.04.10 09:00:00,000000000
"73f316ac79c18950000001288d2c028e0016"|"73f316ac79c18950000001288d2c027e0015"|02.04.10 09:57:38,000000000|02.04.10 09:57:38,000000000
"73f316ac79c18950000001288d2c029e0017"|"73f316ac79c18950000001288d2c028e0016"|02.04.10 10:30:41,000000000|02.04.10 10:07:38,000000000
"73f316ac79c18950000001288d2c02ad0018"|"73f316ac79c18950000001288d2c029e0017"|02.04.10 11:26:09,000000000|02.04.10 10:40:41,000000000
"73f316ac79c18950000001288d2c02bd0019"|"73f316ac79c18950000001288d2c02ad0018"|02.04.10 11:36:09,000000000|02.04.10 11:36:09,000000000
"73f316ac79c18950000001288d2c02cc001a"|"73f316ac79c18950000001288d2c02bd0019"|02.04.10 11:50:23,000000000|02.04.10 11:46:09,000000000
"73f316ac79c18950000001288d2d096f0083"|"73f316ac79c18950000001288d2d095f0082"|04.04.10 04:56:42,000000000|04.04.10 02:33:21,000000000
"73f316ac79c18950000001288d32a0190092"|"73f316ac79c18950000001288d32a0090091"|08.04.10 00:35:31,000000000|08.04.10 00:00:00,000000000
